,sentence,predicted_langugae,target_language
537,in plaats van een deel ervan,Dutch,Dutch
538,je ne vois pas comment on y arrivera,French,French
539,och aldrig haft hallucinationer förut,Swedish,Swedish
540,en ze is hypoxisch ze had niet veel zuurstof in haar longen,Dutch,Dutch
541,hai fiducia nel consiglio comunale,Italian,Italian
542,por exemplo com estes aparelhos,Portuguese,Portuguese
543,com a palavra mãe,Portuguese,Portuguese
544,conseguimos obter todos os metadados,Portuguese,Portuguese
545,ce qui est important dans le fait de fournir des ordinateurs portables dans cette région,French,French
546,não é,Portuguese,Portuguese
547,sobre la importància de donar plaer a la seva dona,Catalan,Catalan
548,og det er henvendt til en bestemt person,Danish,Danish
549,e a vossa missão de hoje é estarem cépticos,Portuguese,Portuguese
550,när man går igenom vraket,Swedish,Swedish
551,que répondriezvous,French,French
552,med en ny nobelpris,Danish,Danish
553,va ser filmada en una cinta de millímetres del govern,Catalan,Catalan
554,jane de schrik der hersenschuddingen,Dutch,Dutch
555,daardoor zullen we,Dutch,Dutch
556,que seja a autoridade no seu potencial,Portuguese,Portuguese
557,applaus,Dutch,German
558,entre les quatre murs de sa maison,French,French
559,e quando mostrei essas,Portuguese,Portuguese
560,haben mich wirklich entmutigt,German,German
561,kipling zei de vrouw van de kolonel en,Dutch,Dutch
562,cela veux dire quil y a beaucoup dopportunités dinvestissement,French,French
563,wie können wir diese naturgewalten nutzen,German,German
564,organizzammo una vendita di dolci,Italian,Italian
565,ultimamente ci ho pensato molto,Italian,Italian
566,het is een eenvoudige vraag,Dutch,Dutch
567,ik loop haar klas binnen,Dutch,Dutch
568,capimmo che quando,Italian,Italian
569,og hvis det udnyttes korrekt kan det være en stærk kraft for det gode,Danish,Danish
570,dat recent werd uitgevoerd,Dutch,Dutch
571,e hoje o pão é agora associado à obesidade,Portuguese,Portuguese
572,waarbij we onze gewonde onderdelen,Dutch,Dutch
573,et elle était là et elle a dit je mappelle marsha,French,French
574,e questo è il primo dispositivo che abbiamo fatto e sto per parlare del mio secondo desiderio,Italian,Italian
575,zusammen mit bestrahlung wirken,German,German
576,augmenta un percent,Catalan,Catalan
577, la propagació de malalties ,Catalan,Catalan
578,aqueles que nos rodeiam,Portuguese,Portuguese
579,gelach applaus,Dutch,Dutch
580,e trazêla mais para a vida pública,Portuguese,Portuguese
581,in precedenza facevamo un bilancio in base alla quantità di petrolio che estraevamo,Italian,Italian
582,unter den gefährlichsten,German,German
583,næsen presset mod siden,Danish,Danish
584,latter,Danish,Danish
585,där tillväxt verkligen spelar roll i de fattiga länderna,Swedish,Swedish
586,og mens du oversætter dem og når du kan se hvordan andre mennesker oversætter dem,Danish,Danish
587,van het heelal waaruit wij ontspringen,Dutch,Dutch
588,al mijn vrienden zeiden we vertrekken want we zijn doelwit,Dutch,Dutch
589,och rosemary altea de är ytterligare några,Swedish,Swedish
590,selv collegestuderende har en,Danish,Danish
591,sur lesquels nous travaillions,French,French
592,jouw kennis jouw gedrag in diverse situaties,Dutch,Dutch
593,och att vi inte är rädda för att misslyckas,Swedish,Swedish
594,under de senaste åren,Swedish,Swedish
595,a que estamos a investigar,Portuguese,Portuguese
596,mas estava de certa forma incorporado nos protocolos,Portuguese,Portuguese
597,en els germans wright,Catalan,Catalan
598,aber nicht immer gerade nicht,German,German
599,det her er kun to,Danish,Danish
600,zurückdrehen,German,German
601,há mais uma razão para vocês,Portuguese,Portuguese
602,hvordan spørger man dem som før kæmpede,Danish,Danish
603,quanto ganhavam,Portuguese,Portuguese
604,es necessitava la mecànica quàntica,Catalan,Catalan
605,que nous avons de nos vies,French,French
606,todos nós fazemos parte,Portuguese,Portuguese
607,den där galna kvinnan hon är igång igen hon säger vad som helst,Swedish,Swedish
608,und das ist set nummer drei,German,German
609,ich sage es ihnen,German,German
610,og arbejdsrettigheder og menneskerettigheder,Danish,Danish
611,ogni persona inesperta può vedere la differenza,Italian,Italian
612, mil milhões de dólares por ano,Portuguese,Portuguese
613,ausreichen wird,German,German
614,edificio contribuente,Italian,Italian
615,quais eram as suas imagens memoráveis,Portuguese,Portuguese
616,och det följdes ett eller två år senare,Swedish,Swedish
617,någonsin har gjort kan mätas,Swedish,Swedish
618,att om de gör äppelklubbor kommer fler äta äpplen också,Swedish,Swedish
619,og antimon,Danish,Danish
620,e por último felicidade e funcionalidade,Portuguese,Portuguese
621,risate,Italian,Italian
622,quero que vocês pensem neles,Portuguese,Portuguese
623,para levarem o que tinham trazido com eles,Portuguese,Portuguese
624,we doen routinematig intellectuele hoogstandjes,Dutch,Dutch
625,se tutti attorno a te vogliono seppellirti sotto terra,Italian,Italian
626,och frågade efter mina mått,Swedish,Swedish
627,dan jim lovell de astronaut,Dutch,Dutch
628,só precisamos saber como extraílas,Portuguese,Portuguese
629,och en global övergång till en ekonomi med lågt utsläpp av koldioxid,Swedish,Swedish
630,mange tak,Danish,Danish
631,il a fait des allers retours sur la piste,French,French
632,i és força inintelligible,Catalan,Catalan
633,och smeta tårta i varandras ansikten och göra macarenadansen,Swedish,Swedish
634,comme je le faisais sur la caisse,French,French
635,et je lui ai demandé  questce qui se passerait,French,French
636,six heures si on survit,French,French
637,et ce quon leur dit est mal,French,French
638,des effets du co sur le climat,French,French
639,num discurso de minutos,Portuguese,Portuguese
640,weet dat er een vaste soort roofzuchtige blik is,Dutch,Dutch
641,at blive opfattet som underlig eller anderledes,Danish,Danish
642,varför talar vi då så illa om mat,Swedish,Swedish
643,ik deed een interview over de satelliettelefoon,Dutch,Dutch
644,geen angst geen doodsstrijd meer polio poef weg,Dutch,Dutch
645,tatsächlich wissen nicht viele von ihnen,German,German
646,aplaudiments,Catalan,Catalan
647,lassen es dort analysieren,German,German
648,la domanda è questo danno ha cancellato il connettoma,Italian,Italian
649,les asiatiques de lest,French,French
650,applaudissements,French,French
651,per ogni femmine,Italian,Italian
652,set i lyset af at jeg har fået for vane at tilskynde mennesker,Danish,Danish
653,cela ne veut pas dire que les gens comprennent que le changement climatique,French,French
654,und hier ist das was sich von person zu person ausbreitet,German,German
655,e para um subgrupo dessas pessoas,Portuguese,Portuguese
656,então a minha primeira pergunta para vocês hoje,Portuguese,Portuguese
657,eine neue dimension an eine neue bedeutung,German,German
658,und ihre persönliche entwicklung,German,German
659,dat is het verhaal van india,Dutch,Dutch
660,de förvandlade stolen från något som köptes av inköpsavdelningen,Swedish,Swedish
661,isaac il déchire bon sang il ressemble à une rock star,French,French
662,non seulement on le tue,French,French
663,de ce type de production,French,French
664,der von reputation angetrieben wird,German,German
665,in un enorme motore,Italian,Italian
666,en ik werd nooit zo uitgedaagd,Dutch,Dutch
667,ho preso i dipinti,Italian,Italian
668,os nossos netos poderão construir,Portuguese,Portuguese
669,welche für mich ihre reinste form ist,German,German
670,och varför var det bröderna wright,Swedish,Swedish
671,den har en enorm förmåga till parallella processer,Swedish,Swedish
672,video oh oh oh oh oh oh,Dutch,German
673,e é muito difícil não levar aquilo a sério,Portuguese,Portuguese
674,bisogna veramente alzare la voce per parlare al di sopra di un suono,Italian,Italian
675,nascono da un ambiente insolitamente molto socievole,Italian,Italian
676,så låt mig ge dig ett välkänt exempel,Swedish,Swedish
677,cè una connessione cosmica,Italian,Italian
678,var jag full av nervösa hormoner,Swedish,Swedish
679,vielle à roue,Portuguese,Swedish
680,nhe tingut la prova una vegada i una altra,Catalan,Catalan
681,de como um diferencial no poder,Portuguese,Portuguese
682,durante alguns minutos,Portuguese,Portuguese
683,due terzi di questa stanza,Italian,Italian
684,quando nel per la prima volta sono arrivato in afghanistan come ministro degli esteri,Italian,Italian
685,abbia a che vedere con i videogiochisono argomenti proibiti,Italian,Italian
686,e una competizione internazionale di calcio con robot autonomi,Italian,Italian
687,aber dann stellt sich die frage ok wir können diese daten heute erfassen,German,German
688,mas também merece a nossa revisão,Portuguese,Portuguese
689,et nest plus perturbé par aucun autre bruit agressif,French,French
690,men det faktum att de diktatorerna,Swedish,Swedish
691,et år senere befandt jeg mig på massachusetts institute of technology mit,Danish,Danish
692,sem paredes,Portuguese,Portuguese
693,geobsedeerd over verbonden zijn,Dutch,Dutch
694,tots aquests medicaments res sembla funcionar,Catalan,Catalan
695,usando telefoni come questo,Italian,Italian
696,huntingtons kitchen ich arbeite mit einer gemeinde,German,German
697,så vi behöver skapa bättre spel,Swedish,Swedish
698,så jeg vil lige dele en tredje historie,Danish,Danish
699,das heißt so etwas ist möglich,German,German
700,involucrarse en persones baixes damèrica,Catalan,Catalan
701,por exemplo conseguem imaginar,Portuguese,Portuguese
702,um mba em i marketingi pela,Portuguese,Portuguese
703,involverer begrænsede råmaterialer,Danish,Danish
704,chaque entreprise peut faire de telles actions,French,French
705,we wilden een team maken dat zo ver verwijderd was van de oude manier van werken,Dutch,Dutch
706,combinemlos doncs,Portuguese,Catalan
707,de chaque donnée individuelle,French,French
708,förhandlar om sin första lön,Swedish,Swedish
709,gehabt hatte ein moment,German,German
710,questo è un legame,Italian,Italian
711,en ayant un petit ,French,French
712,om våld i hemmet dess varningssignaler eller mönster,Swedish,Swedish
713,vam crear lempresa opower,Catalan,Catalan
714,det er et virkelig fantastisk billede det er ret fedt,Danish,Danish
715,non avremmo mai potuto raggiungere,Italian,Italian
716,ze moesten het volgende grote nieuwe product,Dutch,Dutch
717,i de com passa de maneres improbables,Catalan,Catalan
718,elle va engendrer des courants électriques et ce courant électrique dans le cerveau,French,French
719,e gostaria de continuar o,Portuguese,Portuguese
720,on lui a proposé une hystérectomie,French,French
721,sie wollen die menschen in angst leben lassen,German,German
722,straßenbiegung abzulenken,German,German
723,uden deres tilladelse,Danish,Danish
724,för några månader sedan fick jag ett samtal,Swedish,Swedish
725,que havien enxampat a aquestes persones,Catalan,Catalan
726,historisch und empirisch,German,German
727,ed io dico dio avrei davvero voluto connettere,Italian,Italian
728,et sandy ma fait réaliser que nos appareils,French,French
729,ils étaient gardés comme animaux de compagnie,French,French
730,piene di comprensione,Italian,Italian
731,ik heb nu geld op die as en de kans op overleven van de kinderen daar,Dutch,Dutch
732,tre o quattro versioni diverse,Italian,Italian
733,istället för att bli författare som jag alltid längtat efter att bli ,Swedish,Swedish
734,ne scrisse più di cento e come ha detto,Italian,Italian
735,nos próximos anos,Portuguese,Portuguese
736,mas quanto mais eu falava sobre ele,Portuguese,Portuguese
737,hoe ga ik dit inpassen in de rest van mijn activiteiten,Dutch,Dutch
738,la natura gli elefanti e così via,Italian,Italian
739,e in questo modo si generano microfessure,Italian,Italian
740,si algú sembla un home però,Catalan,Catalan
741, la tempête trois fois,French,French
742,för att öka resiliensen,Swedish,Swedish
743,i us adonareu que veieu una rajola marró fosc a la part superior,Catalan,Catalan
744,att använda vår potential,Swedish,Swedish
745,siete pronti per la costruzione,Italian,Italian
746,bg wendy grazie di essere venuta,Italian,Italian
747,jeg stolt over at kunne fortælle at,Danish,Danish
748,det faktum at nogle af ofrene bar,Danish,Danish
749,som innehåller mycket,Swedish,Swedish
750,eu tinha tantas histórias e ideias,Portuguese,Portuguese
751,och han sa direkt absolut ja,Swedish,Swedish
752,aber ich werde ihnen das ersparen,German,German
753,wat in de dimensies van film en televisie,Dutch,Dutch
754,as pessoas quase sempre tentaram curar,Portuguese,Portuguese
755,hvilket egentlig betød at fare vild med et gevær ,Danish,Danish
756,und die autos fahren darunter,German,German
757,och ansvarsskyldighet och testning,Swedish,Swedish
758,nous désirons être optimistes nadviendra pas,French,French
759,men naturligtvis skulle det inte ha gått utan lite marknadsundersökningar,Swedish,Swedish
760,les gens naiment pas manger,French,French
761,sim estamos a ver dois e ainda continuamos a disparar,Portuguese,Portuguese
762,stephanie mann der var dum nok til at svare på mine emails,Danish,Danish
763,jag har börjat kalla det för ett flytande nätverk,Swedish,Swedish
764,són més fràgils que daltres i finalment,Catalan,Catalan
765,non seguiamo le istruzioni e così via,Italian,Italian
766,i modsætningen der findes i en poets sind,Danish,Danish
767,är att faktiskt skapa avatarer och du kan skapa celler,Swedish,Swedish
768,si nous y réfléchissons,French,French
769,vamos oferecêlos como doação a este país pobre,Portuguese,Portuguese
770,er is geen enkel teken van de vermoeidheid,Dutch,Dutch
771,prima di radunare i ragazzi e gli uomini,Italian,Italian
772,ou ao pub ou à igreja,Portuguese,Portuguese
773,ce nest pas ce à quoi on pense en général,French,French
774,jag vill inte råka illa ut,Swedish,Swedish
775,hvem kunne feje tanken af banen,Danish,Danish
